Restaurant Name,Rating,Cuisine,Average Cost for Two,City,Address,Latitude,Longitude
La Pino'z Pizza,3.3,"Pizza, Pasta, Italian, Fast Food",₹400 for two,Ajmer,"Ana Sagar Lake, Ajmer",26.4840700000,74.6313600000
Mango Masala Restaurant,4.6,"North Indian, South Indian, Fast Food, Sandwich, Beverages, Desserts",₹600 for two,Ajmer,"India Motor, Ajmer",26.4650283441,74.6390043944
Domino's Pizza,3.8,"Pizza, Fast Food, Desserts, Italian, Pasta",₹400 for two,Ajmer,"Pal Bhichala, Ajmer",26.4654449395,74.6377031878
Mango Curry,4.3,"North Indian, Continental, Desserts, Beverages",₹500 for two,Ajmer,"India Motor, Ajmer",26.4650670623,74.6390969306
Rominus Pizza And Burger,3.1,"Pizza, Burger, Pasta, Wraps, Fast Food",₹600 for two,Ajmer,"Ana Sagar Lake, Ajmer",26.4811311000,74.6312075000
Burgerlicious,3.9,"Burger, Wraps, Pizza, Fast Food, Beverages",₹300 for two,Ajmer,"Ana Sagar Lake, Ajmer",26.4901980000,74.6262090000
KFC,New,"Burger, Fast Food, Biryani, Desserts, Beverages",₹300 for two,Ajmer,"Ana Sagar Lake, Ajmer",26.4812935391,74.6314165374
Foodie Friends Cafe,3.4,"Sandwich, Burger, Pizza, Street Food, Chinese, Fast Food",₹300 for two,Ajmer,"Panchsheel Nagar, Ajmer",26.5004830000,74.6336829000
Sky Grill,4.4,"Cafe, Asian, Pasta, Fast Food, Pizza, North Indian, Desserts, Beverages",₹600 for two,Ajmer,"Ana Sagar Lake, Ajmer",26.4587837332,74.6366658434
Molecule Air Bar,4.6,"North Indian, Chinese, Continental, Italian","₹2,000 for two",Agra,"Tajganj, Agra",27.1542391651,78.0592353610
The Salt Cafe Kitchen & Bar,4.9,"North Indian, Continental, Chinese, Italian, Finger Food","₹1,800 for two",Agra,"Tajganj, Agra",27.1576244786,78.0494100228
Palm Burj,4.5,"North Indian, Chinese, Continental, Sushi, Sichuan, Beverages, Desserts","₹2,200 for two",Agra,"Rakabganj, Agra",27.1639061842,78.0143015832
Unplugged Courtyard,4.4,"Mediterranean, North Indian, Continental, Chinese, Mexican, Thai, Italian, Coffee","₹1,600 for two",Agra,"Tajganj, Agra",27.1587685044,78.0617843941
Pizza Hut,3.8,"Pizza, Fast Food, Desserts, Beverages","₹1,000 for two",Agra,"Agra Cantt, Agra",27.1589958166,78.0131747201
Momocult,3.7,"Momos, Chinese, Fast Food",₹200 for two,Agra,"Civil Lines, Agra",27.2014383960,78.0075330526
KFC,3.9,"Burger, Fast Food, Biryani, Desserts, Beverages",₹500 for two,Agra,"Tajganj, Agra",27.1578270332,78.0497271940
Lights Out - Lounge & Roofpark,4.1,"Bar Food, Finger Food, North Indian, Chinese, Continental, BBQ, Italian","₹1,400 for two",Agra,"Civil Lines, Agra",27.1995218827,78.0076426640
New Pizza King,3.8,"Pizza, Fast Food",₹500 for two,Agra,"Dayal Bagh, Agra",27.2152002341,78.0063784534
Karavali Fine Dine,4.4,"North Indian, Biryani, Mughlai, Seafood, Chinese, Hyderabadi","₹1,200 for two",Bangalore,"Koramangala 7th Block, Bangalore",12.9358741373,77.6077060577
The Terrace at Gilly's Redefined,4.4,"Continental, Finger Food, Chinese, North Indian, Italian, Beverages, Desserts","₹2,000 for two",Bangalore,"Gilly's Redefined, Koramangala 4th Block, Bangalore",12.9335933669,77.6233997941
Long Boat Brewing Co.,4.2,"Asian, Steak, Pizza, Pasta, Chinese, South Indian, North Indian","₹2,600 for two",Bangalore,"Marathahalli, Bangalore",12.9520476337,77.7003846423
Ironhill Bengaluru,4.5,"North Indian, Continental, Asian, Pizza, Fast Food, Biryani, Beverages, Desserts","₹2,000 for two",Bangalore,"Marathahalli, Bangalore",12.9509635398,77.6994350553
Roxie,4.6,"Continental, Asian, North Indian, European, American, Italian, Pizza, Beverages","₹2,600 for two",Bangalore,"Sarjapur Road, Bangalore",12.9151978000,77.6658216000
Pangeo,4.4,"Asian, Modern Indian, Italian, Mediterranean","₹3,500 for two",Bangalore,"Forum Rex Walk, Bangalore",12.9726391000,77.6065987000
Oia,4.0,"Continental, Asian, Seafood, Salad, Pizza, North Indian, Desserts","₹2,500 for two",Bangalore,"Hennur, Bangalore",13.0737438079,77.6525560905
Stories Brewery & Kitchen,4.4,"North Indian, Continental, Chinese, Finger Food, Beverages, Desserts","₹1,800 for two",Bangalore,"BTM, Bangalore",12.9058268113,77.6084169745
One8 Commune,New,"North Indian, Chinese, Pasta, Sushi, Continental, Desserts, Beverages","₹3,000 for two",Bangalore,"Lavelle Road, Bangalore",12.9762151641,77.5991868467
Peddlers,4.2,"North Indian, Chinese, Fast Food, Pizza, Burger, Continental, Beverages, Desserts","₹1,000 for two",Amritsar,"Ranjit Avenue, Amritsar",31.6522243000,74.8624939000
Organic Curry,4.0,"North Indian, South Indian, Chinese",₹400 for two,Amritsar,"Ranjit Avenue, Amritsar",31.6774820000,74.8364880000
Diago,-,"North Indian, Bar Food","₹1,000 for two",Amritsar,"Ranjit Avenue, Amritsar",31.6558404000,74.8555783000
Pizzetto,3.2,"Pizza, Burger, Pasta, Momos, Fast Food, Salad, Shake, Beverages",₹400 for two,Amritsar,"Mohan Nagar, Amritsar",31.6178210000,74.8871320000
Rang Punjab,4.1,"North Indian, Beverages, Desserts","₹1,000 for two",Amritsar,"Town Hall, Amritsar",31.6257668000,74.8784974000
The Amritsar Haveli,3.7,"North Indian, South Indian, Fast Food, Chinese, Sandwich, Desserts, Pizza, Beverages",₹400 for two,Amritsar,"Town Hall, Amritsar",31.6245184231,74.8789950460
Dumpling Hood,3.4,"Momos, Chinese",₹450 for two,Amritsar,"Ranjit Avenue, Amritsar",31.6527160000,74.8631900000
Kafeine,-,"Pizza, Italian, Sandwich, Fast Food, Salad, Desserts",₹700 for two,Amritsar,"Ranjit Avenue, Amritsar",31.6560624000,74.8597393000
Huber & Holly,3.7,"Ice Cream, Bakery, Pizza, Italian, Sandwich, Fast Food, Shake, Beverages",₹500 for two,Amritsar,"Ranjit Avenue, Amritsar",31.6573524475,74.8545684814
Barista Coffee,3.7,"Cafe, Coffee, Desserts, Sandwich, Fast Food",₹550 for two,Chandigarh,"Sector 35, Chandigarh",30.7223522089,76.7613203824
Corby's - Hyatt Centric,4.4,"North Indian, Continental, Fast Food, Chinese, Desserts, Beverages","₹2,500 for two",Chandigarh,"Hyatt Centric, Chandigarh",30.7446918875,76.7835164329
Prankster,4.4,"North Indian, Mughlai, Asian, BBQ, Finger Food, Street Food, Desserts, Beverages","₹2,000 for two",Chandigarh,"Sector 26, Chandigarh",30.7249098493,76.8057206646
Zeek,4.1,"North Indian, Salad, Chinese, Italian, Mughlai, Pizza, Burger, Desserts","₹1,400 for two",Chandigarh,"Sector 26, Chandigarh",30.7256145000,76.8060653000
Tahiti - The Culinary Rooftop,3.3,"Mediterranean, North Indian, Italian, Pizza, Pasta, Salad, Desserts, Beverages","₹2,000 for two",Panchkula,"Sector 5, Panchkula",30.7016375000,76.8537118000
Playground,4.0,"North Indian, Continental, European, Beverages","₹1,900 for two",Chandigarh,"Sector 26, Chandigarh",30.7252000799,76.8061102554
The Finch,4.4,"North Indian, Chinese, Asian, Sushi, Oriental, Fast Food, Street Food, Beverages","₹2,500 for two",Chandigarh,"Sector 26, Chandigarh",30.7286738441,76.8032010645
Pannacottas,4.2,"Cafe, French, Italian, Belgian, Continental, Bakery, Desserts, Beverages","₹1,200 for two",Chandigarh,"Sector 9, Chandigarh",30.7433174400,76.7899700627
Urban Cafe - Hyatt Regency,4.3,"North Indian, Continental, Oriental, Fast Food, Kebab, Salad, Desserts, Beverages","₹4,000 for two",Chandigarh,"Hyatt Regency, Chandigarh Industrial Area, Chandigarh",30.7047901000,76.8003430000
Ecko- Artisanal Bistro,4.3,"North Indian, Continental, Chinese, Biryani, Pizza, Pasta, Desserts, Cafe","₹1,000 for two",Bhopal,"Gulmohar Colony, Bhopal",23.1937492116,77.4355801596
Chalu Chinese,4.3,"Chinese, Momos, Sichuan",₹600 for two,Bhopal,"Gulmohar Colony, Bhopal",23.1879508114,77.4331567436
WOW! Momo,4.0,"Momos, Fast Food, Tibetan, Sichuan, Beverages",₹350 for two,Bhopal,"Maharana Pratap Nagar, Bhopal",23.2329890000,77.4298830000
The Bastion,3.9,"Continental, North Indian, Chinese, Biryani, Mughlai, Desserts","₹1,200 for two",Bhopal,"Hoshangabad Road, Bhopal",23.1970339227,77.4481293355
WOW! China,3.8,"Chinese, Oriental, Asian, Sichuan, Seafood",₹550 for two,Bhopal,"Maharana Pratap Nagar, Bhopal",23.2329890000,77.4298830000
Fagito,4.0,"North Indian, Oriental, Italian","₹1,000 for two",Bhopal,"Arera Colony, Bhopal",23.1979898678,77.4172473339
Pizza Hut,4.0,"Pizza, Fast Food, Pasta, Desserts, Italian","₹1,000 for two",Bhopal,"Kohefiza, Bhopal",23.2685600000,77.3775400000
Pitchers Cafe Bar,2.9,"North Indian, Chinese, Italian, Burger, Fast Food, Pasta, Biryani, Desserts","₹1,500 for two",Bhopal,"DB City, Maharana Pratap Nagar, Bhopal",23.2326980000,77.4298564000
Domino's Pizza,3.9,"Pizza, Fast Food, American, Chinese, Desserts",₹500 for two,Bhopal,"JP Nagar, Bhopal",23.3045012008,77.4220121911
KFC,4.1,"Burger, Fast Food, Biryani, Desserts, Beverages",₹450 for two,Cuttack,"Mal Godown Market, Cuttack",20.4600111000,85.8810286000
Burger Singh - Big Punjabi Burgers,-,"Burger, American, North Indian, Fast Food, Desserts, Beverages",₹300 for two,Cuttack,"Buxi Bazaar, Cuttack",20.4765866425,85.8692067588
Domino's Pizza,3.6,"Pizza, Italian, Pasta, Fast Food, Desserts",₹400 for two,Cuttack,"Sutahat, Cuttack",20.4679980000,85.8694170000
Pizza Corner,3.5,"Street Food, Fast Food, Burger, Pizza, Sandwich, Pasta, Desserts, Shake",₹400 for two,Cuttack,"Siba Bazaar, Cuttack",20.4720180000,85.8638190000
Bijay Dhaba,-,"North Indian, Mughlai, Chinese, Seafood, Biryani, Kebab, Continental, Desserts","₹1,000 for two",Cuttack,"Kalyani Nagar, Cuttack",20.4113817000,85.8793322000
Oberai Bakers & Cafe,3.1,"Bakery, North Indian, Chinese, Thai, Italian, Fast Food, Mughlai, Biryani",₹600 for two,Cuttack,"CDA Sector 6, Cuttack",20.4806524265,85.8252893975
Bombay Restaurant- Hotel Bombay Inn,4.0,"North Indian, South Indian, Chinese, Fast Food, Beverages",₹400 for two,Cuttack,"Siba Bazaar, Cuttack",20.4689614000,85.8970286000
Blast,4.3,"Chinese, North Indian, Seafood, Beverages, Shake, Sichuan","₹1,000 for two",Cuttack,"Siba Bazaar, Cuttack",20.4681879662,85.8960076422
Faltu Restaurant,3.5,"Biryani, North Indian, Chinese",₹700 for two,Cuttack,"Mal Godown Market, Cuttack",20.4773879421,85.9029351175
Lafayette By Mug Cakes,4.1,"Italian, American, Desserts","₹1,100 for two",Chennai,"Nungambakkam, Chennai",13.0615342000,80.2389598000
Glen`s Bakehouse,3.5,"Bakery, Desserts, Italian, Cafe, Coffee, Chinese, Fast Food, Beverages","₹1,100 for two",Chennai,"Anna Nagar West, Chennai",13.0841673000,80.2104432000
On D Roof Restaurant,3.7,"Chinese, North Indian, Mughlai, Seafood, Biryani, Kebab, Desserts, Beverages",₹800 for two,Chennai,"Anna Nagar East, Chennai",13.0845470436,80.2173651382
Sundays,4.5,"Italian, Continental, Asian, North Indian, South Indian, European, Beverages","₹1,800 for two",Chennai,"Anna Nagar East, Chennai",13.0850800075,80.2250084281
Bike & Barrel - The Residency Towers,4.0,"Finger Food, Beverages","₹3,000 for two",Chennai,"The Residency Towers, T. Nagar, Chennai",13.0404344125,80.2438244596
Sky | Curated Asian Dining - The Residency Towers,4.5,"Asian, North Indian, Chinese, Biryani, Sushi, Desserts","₹2,500 for two",Chennai,"T. Nagar, Chennai",13.0400924309,80.2436497808
Pasha - The Park,4.2,"Bar Food, Beverages, Italian, North Indian","₹4,000 for two",Chennai,"The Park, Nungambakkam, Chennai",13.0536256549,80.2495425940
601 - The Park,4.0,"North Indian, Chinese, Italian, Continental, Desserts, Beverages","₹3,000 for two",Chennai,"The Park, Nungambakkam, Chennai",13.0530155424,80.2498295903
Secret Story,4.3,"North Indian, Chinese, Italian, Fast Food","₹3,500 for two",Chennai,"Nungambakkam, Chennai",13.0601032715,80.2490098402
Cé La Vie Kitchen & Bar,4.2,"North Indian, Mediterranean, Continental, Sushi, Italian, Lebanese, Asian, Bar Food","₹2,200 for two",Delhi,"Middle Circle, Connaught Place, New Delhi",28.6354845416,77.2194425014
Ministry Of Beer,4.3,"North Indian, Italian, Asian, Continental, Chinese, Beverages","₹2,800 for two",Delhi,"Connaught Place, New Delhi",28.6333165140,77.2227491811
Chido,4.4,"North Indian, Asian, Lebanese, Italian, European, Chinese, Beverages","₹2,000 for two",Delhi,"Connaught Place, New Delhi",28.6323242195,77.2224531323
Unplugged Courtyard,4.1,"North Indian, Chinese, Turkish, Sushi, Salad, Pizza, Biryani, Beverages","₹2,000 for two",Delhi,"Connaught Place, New Delhi",28.6342417053,77.2215200588
Openhouse Cafe,4.2,"Continental, Chinese, North Indian, Mughlai, Pizza, Beverages, Desserts, Bar Food","₹2,000 for two",Delhi,"Connaught Place, New Delhi",28.6341039865,77.2206362709
Somewhere Restaurant & Bar,4.4,"Asian, Lebanese, Continental, North Indian, Fast Food, Bar Food, Desserts, Beverages","₹2,600 for two",Delhi,"Middle Circle, Connaught Place, New Delhi",28.6354140000,77.2193580000
MKT,4.2,"Asian, North Indian, European, Biryani, Pizza, Pasta, Japanese, Mexican","₹3,000 for two",Delhi,"Chanakya Mall, Chanakyapuri, New Delhi",28.5842049000,77.1907172000
Lord Of The Drinks,4.3,"Oriental, North Indian, Continental, Italian, Salad, Fast Food, Desserts, Beverages","₹2,400 for two",Delhi,"Connaught Place, New Delhi",28.6318689734,77.2169230878
Connaught Club House,4.3,"North Indian, Mughlai, Italian, Continental, Asian, Fast Food, Desserts","₹3,000 for two",Delhi,"Janpath, New Delhi",28.6272228000,77.2206281000
Kunga Restaurant,4.7,"Continental, Fast Food, Street Food, Tibetan, Beverages",₹400 for two,Darjeeling,"Chauk Bazaar, Darjeeling",27.0415920326,88.2664366812
Hotel Lunnar,3.9,"North Indian, South Indian, Chinese, Sandwich, Fast Food, Desserts, Juices, Beverages","₹1,000 for two",Darjeeling,"Chauk Bazaar, Darjeeling",27.0414971000,88.2665255000
KFC,3.9,"Burger, Fast Food, Biryani, Desserts, Beverages",₹400 for two,Darjeeling,"Chauk Bazaar, Darjeeling",27.0430191411,88.2670271024
Tibet Kitchen,3.9,"Tibetan, North Indian, Chinese",₹400 for two,Darjeeling,"Chauk Bazaar, Darjeeling",27.0381278000,88.2665488000
Park,4.9,"Tibetan, North Indian, Chinese, Beverages",₹800 for two,Darjeeling,"Limbugaon, Darjeeling",27.0404892881,88.2655869325
Hotel Shangri-La,4.3,"Tibetan, North Indian, Chinese, Sichuan",₹800 for two,Darjeeling,"Chauk Bazaar, Darjeeling",27.0438928965,88.2673529908
WOW! Momo,4.0,"Momos, Fast Food, Tibetan, Sichuan, Beverages",₹400 for two,Goa,"Panaji, Goa",15.4850639152,73.8104720414
Kismoor Sangolda,4.5,"Goan, Seafood, South Indian, North Indian, Oriental, Desserts, Beverages","₹1,400 for two",Goa,"Penha de Franca, Goa",15.5438226547,73.8124669343
Mikey's Place,4.4,"Continental, North Indian, Goan, Seafood, Salad, Desserts, Chinese","₹1,200 for two",Goa,"Candolim, Goa",15.5082386000,73.7700022000
Tereza Beach House-By Sly Granny,4.3,"Continental, Pizza, Italian, Goan, Fast Food, Salad, Desserts","₹1,900 for two",Goa,"Nerul, Goa",15.5000596730,73.7926749140
Palms N Sands,4.3,"Continental, Seafood, Goan, North Indian, Chinese, Fast Food, Desserts, Beverages","₹1,300 for two",Goa,"Candolim Beach, Candolim, Goa",15.5048489879,73.7671456486
Cohiba,4.0,"Finger Food, Continental, Bar Food, Goan, Italian, Seafood, North Indian, Desserts","₹1,800 for two",Goa,"Candolim, Goa",15.4981903110,73.7757139653
Schandis,4.3,"Middle Eastern, Shawarma, Biryani, Kebab, Lebanese, Desserts, Beverages","₹1,800 for two",Goa,"Panaji, Goa",15.4639995868,73.8048816472
SinQ Nightclub,4.0,Finger Food,"₹2,000 for two",Goa,"Candolim, Goa",15.5013910904,73.7715736404
Frida Cantina,4.2,"Continental, Bar Food, Mexican, Desserts, Beverages","₹2,000 for two",Goa,"Panaji, Goa",15.4852542243,73.8110926375
Domino's Pizza,3.8,"Pizza, Italian, Pasta, Fast Food, Desserts",₹400 for two,Dharamshala,"Ram Nagar, Dharamshala",32.2210030000,76.3197750000
Trek and Dine,4.4,,₹800 for two,Dharamshala,"Mcleodganj, Dharamshala",32.2469982408,76.3261651620
Gunn-Powder - D'Polo Club & Spa Resort,4.2,"North Indian, Continental, Chinese",₹600 for two,Dharamshala,"Chilgari, Dharamshala",32.1884667201,76.3363894075
Jimmy Italian Kitchen,4.3,"Italian, Tea, Juices, Desserts, Pizza",₹600 for two,Dharamshala,"Mcleodganj, Dharamshala",32.2393139602,76.3254637644
The Roadside Dinner,New,"Rolls, North Indian, Chinese, Beverages, Street Food",₹500 for two,Dharamshala,"Loharkadi, Dharamshala",32.2215323000,76.3198591000
Kalimpong Restaurant,4.7,Chinese,₹400 for two,Dharamshala,"Mcleodganj, Dharamshala",32.2389163722,76.3243710995
Tibet Kitchen,4.0,"Chinese, North Indian, Tibetan, Momos",₹600 for two,Dharamshala,"Mcleodganj, Dharamshala",32.2385440218,76.3238396868
Gobblers,4.0,"North Indian, Mughlai, Chinese, Fast Food, Biryani, Desserts, Sichuan",₹750 for two,Dharamshala,"Shyam Nagar, Dharamshala",32.1975350000,76.3441120000
Hotel 360 Country Club,4.3,"North Indian, Mughlai, Chinese, Biryani, Continental, Desserts","₹1,000 for two",Dharamshala,"Shyam Nagar, Dharamshala",32.1991287739,76.3655417963
Kori's,4.2,"Korean, Cafe, Asian, Japanese, Seafood, Sushi, Beverages, Momos","₹1,000 for two",Guwahati,"Zoo Tiniali, Guwahati",26.1665404811,91.7794297636
The Square - Novotel Guwahati GS Road,4.0,"Asian, Continental, French","₹3,350 for two",Guwahati,"Six Mile, Guwahati",26.1389504708,91.7985223979
Taco Bell,3.6,Mexican,₹400 for two,Guwahati,"Christian Basti, Guwahati",26.1534090000,91.7810100000
Barbeque Nation,3.8,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹1,750 for two",Guwahati,"Dispur, Guwahati",26.1398529931,91.7989016409
Aminia Restaurant,3.3,"North Indian, Rolls, Biryani, Kebab","₹1,000 for two",Guwahati,"Ulubari, Guwahati",26.1725328722,91.7605610991
Burger Tree,3.5,"Burger, Sandwich, Fast Food",₹300 for two,Guwahati,"Zoo Tiniali, Guwahati",26.1627401196,91.7810227847
AS 01 Cafe,3.9,"North Indian, Chinese, Fast Food, Biryani, Salad, Momos, Tea, Beverages",₹450 for two,Guwahati,"Chandmari, Guwahati",26.1789988000,91.7739250000
Attic-The Restro Cafe,4.0,"North Indian, Chinese, Italian, Continental, Desserts, Beverages","₹1,000 for two",Guwahati,"Christian Basti, Guwahati",26.1569150000,91.7770810000
KFC,3.7,"Burger, Fast Food, Biryani, Desserts, Beverages",₹450 for two,Guwahati,"Ganeshguri, Guwahati",26.1440240000,91.7865060000
Domino's Pizza,3.4,"Pizza, Italian, Pasta, Fast Food, Desserts",₹400 for two,Gorakhpur,"Bichhiya, Gorakhpur",26.7495890000,83.4019900000
Burger King,4.0,"Burger, Fast Food, Beverages",₹350 for two,Gorakhpur,"Golghar, Gorakhpur",26.7564440000,83.3667250000
Rominus Pizza And Burger,-,"Pizza, Burger, Fast Food",₹350 for two,Gorakhpur,"North Humayunpur, Gorakhpur",26.7687125000,83.3572673000
Pizza Hut,3.8,"Pizza, Rolls",₹400 for two,Gorakhpur,"Shahpur, Gorakhpur",26.7724095800,83.3822114000
Pizza King Mania,3.6,Pizza,₹250 for two,Gorakhpur,"Betiahata, Gorakhpur",26.7356950000,83.3675150000
Rangrezza Restaurant,4.1,"Mexican, Italian, Continental, Chinese, Mughlai, North Indian, Biryani, Desserts","₹1,000 for two",Gorakhpur,"Golghar, Gorakhpur",26.7534559118,83.3784099602
Chinese Lover,-,"Chinese, Fast Food, Beverages",₹250 for two,Gorakhpur,"Jatepur, Gorakhpur",26.7772484000,83.3579163000
Star Biryani,4.2,Biryani,₹150 for two,Gorakhpur,"Bade Kajipur, Gorakhpur",26.7541551106,83.3604507521
Barbeque Nation,4.5,North Indian,"₹1,500 for two",Gorakhpur,"City Mall, Golghar, Gorakhpur",26.7534000000,83.3751000000
Ohri's Uppu,4.4,"Andhra, South Indian, Desserts, Beverages","₹1,200 for two",Hyderabad,"Banjara Hills, Hyderabad",17.4084335565,78.4389251098
Aura Cafe & Infusion Bar,4.6,"Continental, Italian, Chinese, Fast Food, Desserts","₹2,000 for two",Hyderabad,"Jubilee Hills, Hyderabad",17.4358399412,78.4120681509
Dhaba - Estd 1986 Delhi,4.5,"North Indian, Mughlai, Kebab, Paan, Desserts, Beverages",₹950 for two,Hyderabad,"Kondapur, Hyderabad",17.4579512982,78.3730007708
Sobremesa- Bakehouse Cafe Kitchen,4.4,"Coffee, Continental, Desserts, Italian, Pasta, Beverages, Bakery, Salad","₹1,800 for two",Hyderabad,"Jubilee Hills, Hyderabad",17.4362364798,78.4053895838
Aqua - The Park,4.1,"North Indian, Continental, Fast Food, Finger Food, Desserts, Beverages","₹2,500 for two",Hyderabad,"The Park, Somajiguda, Hyderabad",17.4240797000,78.4619160000
Verandah - The Park,4.1,"North Indian, Continental, Chinese, Biryani, Oriental, Desserts, Beverages","₹3,000 for two",Hyderabad,"Somajiguda, Hyderabad",17.4240641000,78.4619032000
Roast 24 Seven,4.2,"Cafe, Beverages, Italian, Continental, North Indian, Fast Food, Asian","₹1,000 for two",Hyderabad,"Gachibowli, Hyderabad",17.4372710000,78.3671900000
President Dhaba,3.8,"North Indian, Chinese, Mughlai, Seafood, Desserts, Beverages",₹950 for two,Hyderabad,"Madhapur, Hyderabad",17.4501689693,78.3857489750
Telankhana,4.1,"Kebab, Biryani, Hyderabadi, North Indian, Chinese",₹400 for two,Hyderabad,"Kondapur, Hyderabad",17.4627614000,78.3673964000
Domino's Pizza,4.1,"Pizza, Italian, Pasta, Fast Food, Desserts",₹400 for two,Gwalior,"City Center, Gwalior",26.2092280867,78.1880963221
