Restaurant Name,Rating,Cuisine,Average Cost for Two,City,Address,Latitude,Longitude
Malaka Spice,3.9,"Asian, Chinese, Thai","₹1,500 for two",Nashik,"Veer Sawarkar Nagar, Nashik",20.0188474988,73.7313289591
Asian Wok And Grill,4.7,"Asian, Chinese, Seafood, Tibetan, Thai, Korean, Desserts, Sichuan",₹850 for two,Nashik,"Anand Wali Goan, Nashik",20.0122450000,73.7520080000
Majhali Fine - Dine Seafood Restaurant,3.8,"North Indian, Seafood, Chinese, Biryani, Continental, Desserts","₹1,200 for two",Nashik,"College Road, Nashik",20.0067219972,73.7574863434
HOG - Courtyard by Marriott,4.5,"North Indian, Modern Indian, Continental, Italian, Asian","₹1,200 for two",Nashik,"Mumbai Naka, Nashik",19.9904587763,73.7896524540
Bakes N Brews - Courtyard by Marriott,3.9,"North Indian, Cafe, Coffee, Healthy Food, Fast Food, Pasta, Desserts, Beverages",₹800 for two,Nashik,"Mumbai Naka, Nashik",19.9904010729,73.7893883676
Le Cafetino,4.4,"Cafe, Coffee, Pizza, Fast Food, Desserts, Shake, Beverages",₹500 for two,Nashik,"SSK Solitaire, Satpur, Nashik",19.9911269089,73.7759821862
GPS 99 Restaurant,4.2,"South Indian, Chinese, North Indian, Street Food, Biryani, Kebab, Sichuan",₹450 for two,Nashik,"Nashik Road, Nashik",19.9687701741,73.7998699397
Strato - Courtyard By Marriott,4.4,"North Indian, Bar Food, Kebab, Continental, Rolls, Pizza","₹2,000 for two",Nashik,"Mumbai Naka, Nashik",19.9904587763,73.7896524540
Chai Pyala,3.6,"Tea, Coffee, Shake, Beverages, Pizza, Street Food, Fast Food, Sandwich",₹350 for two,Nashik,"College Road, Nashik",20.0085095413,73.7557653710
Ghoomar Traditional Thali Restaurant,4.3,"Rajasthani, North Indian, Desserts, Beverages","₹1,000 for two",Patna,"Khajpura, Patna",25.6049839027,85.0852725420
Biryani By Bihari's,4.2,"Biryani, North Indian, Mughlai",₹500 for two,Patna,"Kankarbagh, Patna",25.5876000000,85.1585000000
Afraa,4.5,"Bengali, Continental, North Indian, Chinese, Asian, Biryani, Pizza, Desserts","₹1,500 for two",Patna,"Lodipur, Patna",25.6178215836,85.1353358577
Oyk Yumms,4.0,"North Indian, Mughlai, Chinese, Biryani, Rolls, Momos, Street Food, Sichuan",₹700 for two,Patna,"Khajpura, Patna",25.6021200000,85.0743300000
Cafe Hideout,3.4,"Chinese, Continental, Salad, Pizza, Sandwich, Fast Food, Coffee, Beverages",₹650 for two,Patna,"Bakerganj, Patna",25.6193223703,85.1597374802
Burger King,3.5,"Burger, Fast Food, Desserts, Beverages",₹400 for two,Patna,"Lodipur, Patna",25.6104998000,85.1400296000
Samarat - Hotel Chanakya,4.1,"North Indian, Chinese, Continental, Seafood, Desserts, Sichuan","₹1,600 for two",Patna,"Hotel Chanakya, Sri Krishnapuri, Patna",25.6004590971,85.1254153624
Saucy Affair,3.5,"North Indian, Pasta, Pizza, Biryani, Chinese",₹400 for two,Patna,"Kankarbagh, Patna",25.6036531000,85.1540529000
Aasman,4.9,"North Indian, Continental, Chinese, Fast Food, Desserts, Beverages, Sichuan, Seafood","₹3,500 for two",Patna,"Fraser Road Area, Patna",25.6088493415,85.1359869540
La Pino'z Pizza,3.6,"Pizza, Pasta, Italian, Fast Food",₹250 for two,Pushkar,"Choti Basti, Pushkar",26.4880310000,74.5580220000
Sand Feast Cafe,-,"Fast Food, Chinese, North Indian, Pizza, Pasta, Street Food",₹300 for two,Pushkar,"Badi Basti, Pushkar",26.4867544277,74.5515047014
Baba Cafe,-,"Fast Food, Tea, Beverages",₹150 for two,Pushkar,"Choti Basti, Pushkar",26.4868582570,74.5614251867
Little Italy Pizzeria Restaurant,3.5,"Pizza, Pasta, Salad, Israeli, Ice Cream, Beverages",₹400 for two,Pushkar,"Choti Basti, Pushkar",26.4862214761,74.5626828074
Funky Monkey Cafe & Garden Restaurant,4.2,"Cafe, Coffee, Italian, Sandwich, Street Food, Chinese, Desserts, Beverages",₹800 for two,Pushkar,"Choti Basti, Pushkar",26.4862766919,74.5626754314
Hotel Sunset Cafe & Restaurant,3.4,"Juices, North Indian, Fast Food, Chinese, South Indian, Italian, Beverages",₹600 for two,Pushkar,"Choti Basti, Pushkar",26.4873110835,74.5563289896
Flaming Dragons,4.5,"Asian, Chinese, Thai, Japanese, Desserts, Beverages, Finger Food","₹1,200 for two",Puducherry,"White Town, Puducherry",11.9274317288,79.8320963234
Coromandel Cafe,4.3,"Cafe, Continental, Italian, Tea, Beverages","₹1,400 for two",Puducherry,"White Town, Puducherry",11.9312375939,79.8343302682
Villa Shanti,4.2,"Continental, North Indian, Italian, French, Finger Food, Beverages","₹1,500 for two",Puducherry,"Villa Shanti, White Town, Puducherry",11.9305392108,79.8334769905
Hotel Sri Kamatchi,4.4,"South Indian, Biryani, Seafood, Chinese","₹1,000 for two",Puducherry,"Villianur, Puducherry",11.9314898511,79.8046710715
ZOUK Club & Kitchen,3.9,"Continental, Italian, BBQ, Chinese, Pizza, Fast Food, North Indian, Beverages","₹1,200 for two",Puducherry,"MG Road, Puducherry",11.9360168716,79.8311020352
Le Dupleix,4.2,"French, Continental, North Indian, Desserts, Beverages","₹1,500 for two",Puducherry,"White Town, Puducherry",11.9305421631,79.8334783316
Le Petit Four,4.0,"Bakery, Sandwich",₹400 for two,Puducherry,"White Town, Puducherry",11.9286720360,79.8324989900
BurgerMan,3.6,Burger,₹600 for two,Puducherry,"White Town, Puducherry",11.9362613000,79.8315032000
Bay of Buddha - The Promenade,4.9,"Asian, Thai, Chinese, Korean, Indonesian, Momos, Desserts","₹1,500 for two",Puducherry,"The Promenade, White Town, Puducherry",11.9334803460,79.8354980350
Oona The One,4.5,"North Indian, Chinese, Desserts, Beverages","₹1,000 for two",Ranchi,"Kadru, Ranchi",23.3529142030,85.3155766055
Jashn The Restaurant,4.4,"North Indian, Chinese, Biryani, Mughlai, Sichuan",₹500 for two,Ranchi,"Lalpur, Ranchi",23.3679886755,85.3365072235
Caramel The Bistro - Radisson Blu,3.9,"Bakery, Desserts, Sandwich, Pizza, Fast Food, Beverages",₹600 for two,Ranchi,"Radisson Blu, Hindpiri, Ranchi",23.3510396236,85.3243883327
AB's - Absolute Barbecues,4.5,"Biryani, BBQ, Kebab, North Indian, Desserts","₹1,700 for two",Ranchi,"Hindpiri, Ranchi",23.3534180000,85.3235830000
Mocha Café & Bar,4.9,"Continental, Lebanese, Desserts, North Indian, European, Mexican",₹800 for two,Ranchi,"Lalpur, Ranchi",23.3705861000,85.3395404000
Kaveri Restaurant,4.5,"South Indian, North Indian, Pizza, Street Food, Fast Food, Chinese, Desserts, Beverages",₹500 for two,Ranchi,"Hindpiri, Ranchi",23.3576580942,85.3246367723
Barbeque Nation,4.7,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹1,600 for two",Ranchi,"Lalpur, Ranchi",23.3693782749,85.3396799415
Backyard,4.6,"Chinese, North Indian, Fast Food",₹700 for two,Ranchi,"Kanke, Ranchi",23.3995749951,85.3149989247
Lord Of The Drinks,3.9,"Italian, North Indian, Chinese, Fast Food, Pizza, Pasta","₹1,200 for two",Ranchi,"Upper Bazar, Ranchi",23.3786225000,85.3147750000
Pizza Hut,4.2,"Pizza, Fast Food, Burger, Sandwich, Rolls, Desserts, Beverages",₹400 for two,Raipur,"Samta Colony, Raipur",21.2444548938,81.6079292446
KFC,3.2,"Burger, Fast Food, Biryani, Desserts, Beverages",₹400 for two,Raipur,"Samta Colony, Raipur",21.2442917730,81.6085079312
Urban Turban,3.8,"North Indian, Chinese, Sandwich, Pizza, Italian, Fast Food, Street Food, Shake",₹450 for two,Raipur,"Civil Lines, Raipur",21.2341147000,81.6545257000
Madrasi's Grill,4.0,"Biryani, North Indian, Chinese, Sichuan",₹400 for two,Raipur,"Civil Lines, Raipur",21.2412732535,81.6601929949
Ashoka Biryani,2.6,"North Indian, Chinese, Mughlai, Fast Food, Biryani, Desserts, Beverages",₹800 for two,Raipur,"Magneto Mall, Shankar Nagar, Raipur",21.2372306000,81.6889034000
Barbeque Nation,4.7,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹1,800 for two",Raipur,"Purena, Raipur",21.2406402577,81.6841800883
Domino's Pizza,4.1,"Pizza, Italian, Pasta, Fast Food, Desserts",₹400 for two,Raipur,"City Centre Mall, Devendra Nagar, Raipur",21.2539027789,81.6473657638
Cafe Lite 2.0,4.3,"Chinese, North Indian, Biryani, Continental, South Indian, Pizza, Burmese, Fast Food",₹400 for two,Raipur,"Moudhapara, Raipur",21.2565400000,81.6298100000
S Balbir Dhaba,2.7,"North Indian, Fast Food, Pizza, Sandwich, Shake, Beverages",₹500 for two,Raipur,"Purena, Raipur",21.2369399007,81.6920684651
Khambir,3.5,"North Indian, Chinese, Oriental, Continental, Biryani","₹2,000 for two",Shimla,"Chakkar, Shimla",31.0924869000,77.1367179000
Cafe Simla Times,4.2,"Cafe, Continental, Pizza, Fast Food, Beverages","₹1,500 for two",Shimla,"Longwood, Shimla",31.1007775927,77.1762594581
Shimla Brewing Company,4.9,"Continental, North Indian, Pizza, Burger","₹1,500 for two",Shimla,"Longwood, Shimla",31.1007820000,77.1763082000
SkyBar,4.9,"Bar Food, Continental, North Indian, Fast Food, Pizza, Desserts, Beverages","₹1,600 for two",Shimla,"Longwood, Shimla",31.1007448652,77.1764254197
Eighteen 71,4.9,"Continental, North Indian, Chinese, Desserts, Beverages, BBQ, Seafood, Mughlai","₹1,500 for two",Shimla,"Longwood, Shimla",31.1009713739,77.1765679121
Cafe Sol,4.3,"Italian, Mexican, Continental, Beverages","₹1,500 for two",Shimla,"Hotel Combermere, The Mall, Shimla",31.1022178800,77.1776907519
One Bite,3.9,"Pizza, Wraps, Pasta, Sandwich, Burger, Waffle",₹300 for two,Shimla,"Sanjauli, Shimla",31.1027750991,77.1976423636
The Brew Estate,4.3,"North Indian, Continental","₹1,200 for two",Shimla,"Longwood, Shimla",31.1039310000,77.1766125000
Wake & Bake,3.7,"Cafe, Continental, Middle Eastern, Desserts, Beverages",₹800 for two,Shimla,"Longwood, Shimla",31.1046970637,77.1729305014
The Sitting Elephant By Hotel Ellbee Ganga View,4.4,North Indian,"₹1,300 for two",Rishikesh,"Manvendera Nagar, Rishikesh",30.1020590000,78.2923330000
Beatles Cafe,4.2,"Cafe, Italian, Continental, North Indian, Asian",₹600 for two,Rishikesh,"Tapovan, Rishikesh",30.1270520312,78.3262113109
Jal & Jalebi,4.9,"North Indian, Chinese, Continental, Italian","₹1,500 for two",Rishikesh,"Manvendera Nagar, Rishikesh",30.0923738647,78.2884753123
Little Buddha Cafe,3.5,"Continental, Cafe",₹700 for two,Rishikesh,"Tapovan, Rishikesh",30.1237815240,78.3290329948
Om Freedom Cafe,3.4,"Cafe, Continental, Israeli, North Indian, Fast Food, Beverages, Desserts",₹700 for two,Rishikesh,"Tapovan, Rishikesh",30.1241103776,78.3294467255
Bistro Nirvana,4.3,"Cafe, North Indian, Italian, Continental, Israeli, Chinese, Mexican",₹500 for two,Rishikesh,"Tapovan, Rishikesh",30.1280384996,78.3189381123
Tasty Spoon,2.8,Chinese,₹200 for two,Rishikesh,"Tapovan, Rishikesh",30.1306254541,78.3239394799
VARR - Temple Food Of India,4.3,North Indian,"₹2,000 for two",Rishikesh,"Manvendera Nagar, Rishikesh",30.0896865114,78.2884575356
Divine Cafe & Bakery,4.8,"Cafe, Bakery",₹500 for two,Rishikesh,"Tapovan, Rishikesh",30.1274061025,78.3247662708
East Asia,4.2,"Asian, Pizza, Pasta, Fast Food, Desserts, Beverages, Shake, Coffee",₹900 for two,Surat,"Vesu, Surat",21.1437937783,72.7972913096
Zest House,3.9,"North Indian, Continental, Fast Food, Beverages","₹1,500 for two",Surat,"Athwa, Surat",21.1737209799,72.7944143726
Cafe Mewaco,4.0,"Cafe, Coffee, Fast Food, Shake, Beverages",₹600 for two,Surat,"Piplod, Surat",21.1576659409,72.7685922717
The Bungalow Cafe,3.9,"Cafe, Beverages, Pizza, Fast Food",₹500 for two,Surat,"Adajan Gam, Surat",21.1892400000,72.7899880000
KFC,4.0,"Burger, Fast Food, Biryani",₹400 for two,Surat,"Adajan Gam, Surat",21.1933902168,72.7867757902
SBC - Surat Marriott Hotel,3.9,"Continental, Sandwich, Pizza, Burger, Beverages","₹1,200 for two",Surat,"Athwa, Surat",21.1773790000,72.7899140000
Huber & Holly,3.7,"Ice Cream, Desserts, Pizza, Sandwich, Pasta, Beverages",₹600 for two,Surat,"Piplod, Surat",21.1536975194,72.7678920329
Taste Of Bhagwati,3.6,"North Indian, Chinese, Oriental, Italian, Fast Food, Desserts, Shake, Beverages","₹1,000 for two",Surat,"City Light, Surat",21.1689829028,72.7952817455
Table 101 - Surat Marriott Hotel,4.0,Continental,"₹3,000 for two",Surat,"City Light, Surat",21.1765773000,72.7892450000
Aminia,4.1,"North Indian, Mughlai, Biryani, Kebab, Desserts, Beverages",₹400 for two,Siliguri,"Janta Nagar, Siliguri",26.7221348221,88.4272354469
Pizza Hut,3.5,"Pizza, Fast Food",₹600 for two,Siliguri,"Khalpara, Siliguri",26.7041100000,88.4229800000
Biggies Burger,3.9,"Burger, Fast Food, Beverages",₹300 for two,Siliguri,"Bankim Nagar, Siliguri",26.7394808000,88.4356824000
Burger King,4.0,"Burger, Fast Food, Desserts",₹300 for two,Siliguri,"Janta Nagar, Siliguri",26.7288777406,88.4307199717
Penthouse Bar Kitchen & Cocktails,4.0,"North Indian, Mughlai, Chinese, Seafood, Biryani",₹800 for two,Siliguri,"Pradhan Nagar, Siliguri",26.7342910713,88.4135008603
Siliguri Kitchen - Courtyard By Marriott Hotel,3.9,"Chinese, North Indian, Mughlai, Asian, Pizza, Fast Food, Continental, South Indian",₹800 for two,Siliguri,"Pradhan Nagar, Siliguri",26.7301839346,88.4122429043
Haji Biryani,3.8,"Biryani, North Indian",₹300 for two,Siliguri,"Pradhan Nagar, Siliguri",26.7363526642,88.4169860673
Zaika Biriyani House,4.3,"Rolls, North Indian, Bengali",₹400 for two,Siliguri,"Khalpara, Siliguri",26.7153375968,88.4202442691
Tamarynd Lounge & Restaurant,4.3,"North Indian, Finger Food, Continental, Italian, Seafood, Chinese, Mughlai, Asian","₹1,200 for two",Siliguri,"Bankim Nagar, Siliguri",26.7486810495,88.4378700703
CIBO,-,"North Indian, Asian, Chinese, Fast Food, Continental, Biryani, Pasta, Pizza","₹1,500 for two",Trichy,"Thillai Nagar, Trichy",10.8239971000,78.6863139000
Domino's Pizza,4.0,"Pizza, Italian, Pasta, Fast Food, Desserts",₹400 for two,Trichy,"Thillai Nagar, Trichy",10.8270228571,78.6835456824
Karuppaiya Hotel,3.8,"South Indian, Chinese",₹300 for two,Trichy,"Main Guard Gate, Trichy",10.8159061572,78.6972449675
Cafe Coffee Day,4.9,"Cafe, Coffee, Tea, Fast Food, Desserts, Beverages, Sandwich, Shake",₹750 for two,Trichy,"Thillai Nagar, Trichy",10.8200444140,78.6834627762
Takki Tikka,-,"Burger, Momos, Fast Food, Shake, Beverages, Desserts",₹400 for two,Trichy,"Woraiyur, Trichy",10.8345580000,78.6884397000
Pizza Hut,4.1,"Pizza, Fast Food, Desserts, Beverages",₹600 for two,Trichy,"Thillai Nagar, Trichy",10.8279979356,78.6856739223
Hotel Vignesh,-,"South Indian, North Indian",₹300 for two,Trichy,"Cantonment, Trichy",10.7954903067,78.6818326637
Barbeque Nation,4.4,North Indian,"₹1,650 for two",Trichy,"Mangalam Towers, Sangiliyandapuram, Trichy",10.8069274921,78.6814263090
AB's - Absolute Barbecues,4.3,"BBQ, North Indian, Desserts","₹1,800 for two",Trichy,"Woraiyur, Trichy",10.8279021645,78.6856325256
Cafe 1 AM,-,"Arabian, Shawarma, Chinese, North Indian, Juices, Beverages",₹450 for two,Thrissur,"Puzhakkal, Thrissur",10.5387040000,76.1952050000
Starbucks Coffee,-,"Cafe, Coffee, Desserts, Beverages",₹300 for two,Thrissur,"Kizhakkumpattukara, Thrissur",10.5210710000,76.2311261000
Fillmore,-,"North Indian, BBQ, Rolls, Kebab",₹500 for two,Thrissur,"Kizhakkumpattukara, Thrissur",10.5238297995,76.2234292479
KFC,4.2,"Fast Food, Burger, Biryani, Desserts, Beverages",₹450 for two,Thrissur,"Shobha City Mall, Puzhakkal, Thrissur",10.5500577890,76.1833972111
Nahdi Kuzhimandhi,4.2,"Mandi, Arabian",₹400 for two,Thrissur,"Poothole, Thrissur",10.5161504258,76.2094699591
Paavo's Pizza & Grill,3.4,"Pizza, Fast Food, Shake, Beverages",₹500 for two,Thrissur,"Ayyanthole, Thrissur",10.5212621832,76.2017361447
Roastown,4.5,"Continental, Middle Eastern, Moroccan, Oriental, Modern Indian, European, Italian, Greek",₹700 for two,Thrissur,"Kuriachira, Thrissur",10.5126492500,76.2273636460
Hotel Sapphire,4.5,"Beverages, Biryani, Kerala",₹350 for two,Thrissur,"Poothole, Thrissur",10.5188953647,76.2108214572
Soofi Mandi,3.7,"Mandi, Arabian, Charcoal Chicken",₹500 for two,Thrissur,"Ollur, Thrissur",10.4765416152,76.2405454374
Wok On Fire,4.2,"Chinese, Thai, Asian, Momos, Beverages","₹1,000 for two",Vadodara,"Fatehgunj, Vadodara",22.3229012623,73.1871635467
Koa Cafe,3.8,"Cafe, Coffee, Tea, Shake, Beverages, Fast Food, Desserts",₹800 for two,Vadodara,"Bhayli, Vadodara",22.3123638333,73.1239696494
Starbucks Coffee,4.3,"Cafe, Coffee, Fast Food",₹600 for two,Vadodara,"Alkapuri, Vadodara",22.3181609000,73.1697380000
Pizzawala's,3.3,"Pizza, Italian",₹800 for two,Vadodara,"Alkapuri, Vadodara",22.3162969820,73.1684156990
Pizza Hut,3.5,"Pizza, Fast Food, Desserts, Beverages","₹1,000 for two",Vadodara,"Madhavpura, Vadodara",22.3009024606,73.2296152040
Pind Di Gali - Taste Of Punjab,4.5,"North Indian, Biryani, Desserts, Beverages","₹1,000 for two",Vadodara,"Bhayli, Vadodara",22.2907661000,73.1347955000
Old School Eatery,4.6,"North Indian, Biryani, Pizza, Sandwich, Chinese, Desserts, Beverages","₹1,200 for two",Vadodara,"Alkapuri, Vadodara",22.3162093086,73.1709529459
WelcomCafe Cambay - Welcomhotel By ITC Hotels,3.9,"Continental, Chinese, North Indian, Desserts","₹3,500 for two",Vadodara,"Welcomhotel By ITC Hotels, Alkapuri, Vadodara",22.3100508521,73.1678087264
Domino's Pizza,3.9,"Pizza, Fast Food",₹550 for two,Vadodara,"Manjalpur, Vadodara",22.2709390152,73.1943099573
Vibe Hub,-,"Juices, Shake, Shawarma, Fast Food, Beverages",₹250 for two,Trivandrum,"Kannanthura, Trivandrum",8.4864240000,76.9282460000
Domino's Pizza,3.8,"Pizza, Italian, Pasta, Fast Food, Desserts",₹400 for two,Trivandrum,"Kesavadasapuram, Trivandrum",8.5292941444,76.9353877008
Paragon Restaurant,4.5,"Biryani, Kerala, Seafood, South Indian, Chinese, Arabian, North Indian, Desserts","₹1,200 for two",Trivandrum,"Kesavadasapuram, Trivandrum",8.5294579389,76.9342712313
Villa Maya Heritage Restaurant,4.9,"North Indian, Seafood, South Indian, Desserts","₹1,000 for two",Trivandrum,"Kannanthura, Trivandrum",8.4816126870,76.9369276240
Chicking,3.8,"Fast Food, Burger, Pizza, Desserts, Beverages",₹500 for two,Trivandrum,"Mall Of Travancore, Inchakki, Kannanthura, Trivandrum",8.4873528010,76.9254702330
Kumar Cafe,3.3,"Biryani, Kerala, South Indian, Chinese, Seafood, North Indian, Beverages",₹400 for two,Trivandrum,"Karamana, Trivandrum",8.4813964000,76.9574527000
Bro. Co. Restaurant,-,"Kerala, North Indian",₹300 for two,Trivandrum,"Thumba, Trivandrum",8.5365724100,76.8806805587
Kebab Dukkan,3.7,"Kebab, Rolls",₹400 for two,Trivandrum,"Ambalamukku, Trivandrum",8.5250515000,76.9524167000
Pizza Hut,4.0,"Pizza, Fast Food, Desserts, Beverages",₹600 for two,Trivandrum,"Ulloor, Trivandrum",8.5285905564,76.9337803870
Haldiram's Sweets And Namkeen,3.7,"Mithai, Desserts, Bakery",₹500 for two,Vijayawada,"Gandhi Nagar, Vijayawada",16.5188432750,80.6202663792
Haldiram's,3.7,Mithai,₹200 for two,Vijayawada,"Gandhi Nagar, Vijayawada",16.5188432750,80.6202663792
Domino's Pizza,4.1,"Pizza, Italian, Pasta, Fast Food, Desserts",₹400 for two,Vijayawada,"Labbipet, Vijayawada",16.4968652987,80.6640246883
Hoskote 4 AM Biriyani,-,Biryani,₹500 for two,Vijayawada,"Governorpet, Vijayawada",16.5144812000,80.6325905000
Pizza Hut,3.6,"Pizza, Fast Food, Desserts, Beverages",₹600 for two,Vijayawada,"Poranki, Vijayawada",16.4826779511,80.6891776288
AB's - Absolute Barbecues,4.5,"Biryani, BBQ, Kebab, North Indian, Desserts","₹1,850 for two",Vijayawada,"Gurunanak Colony, Vijayawada",16.4973653857,80.6559596314
The Kay Hotel,3.8,"North Indian, South Indian, Chinese, Biryani, Mughlai, Continental, Desserts, Shake",₹700 for two,Vijayawada,"The Kay Hotel, Gunadala, Vijayawada",16.5241957784,80.6762183458
Barbeque Nation,4.6,North Indian,"₹1,750 for two",Vijayawada,"Labbipet, Vijayawada",16.5003484444,80.6458269060
Bismillah Biryani And Fast Food,4.1,"Biryani, South Indian, Chinese, North Indian, Sichuan",₹350 for two,Vijayawada,"Krishna Lanka, Vijayawada",16.5081866590,80.6230036542
The Vibe,3.9,"North Indian, Chinese, Fast Food, Oriental","₹1,000 for two",Varanasi,"Shastri Nagar, Varanasi",25.3168140000,82.9911591000
Burger King,4.0,"Burger, American, Fast Food, Beverages",₹500 for two,Varanasi,"Sigra, Varanasi",25.3162722440,82.9898133874
VNS Live Studio,3.7,"Continental, North Indian, Chinese, Beverages, Sichuan",₹700 for two,Varanasi,"Sigra, Varanasi",25.3186107604,82.9914927855
Pizza Hut,3.8,"North Indian, Fast Food, Pizza",₹600 for two,Varanasi,"Chetganj, Varanasi",25.3193359000,82.9912264000
Roma's Café Diner,4.9,"Cafe, Continental, North Indian, Italian, Asian, Fast Food, Beverages, Sichuan",₹800 for two,Varanasi,"Lanka, Varanasi",25.2811435000,83.0035045000
Pizzeria Vaatika Cafe,4.1,"Pizza, Fast Food, Chinese, Pasta, North Indian, Shake, Juices, Beverages",₹500 for two,Varanasi,"Assi Ghat, Varanasi",25.2888940613,83.0060850084
Champaran Desi Matka Meat House,-,"Mughlai, Bihari, Lucknowi, North Indian",₹500 for two,Varanasi,"Nadesar, Varanasi",25.3394180000,82.9819640000
Hotel Kalika,3.8,"North Indian, Chinese, Street Food, Biryani",₹400 for two,Varanasi,"Nadesar, Varanasi",25.3352721401,82.9855332524
Barbeque Nation,4.9,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹1,700 for two",Varanasi,"JHV Mall, Nadesar, Varanasi",25.3356472895,82.9780381545
